,sentences_with_emoji,sentiment
23,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon? 😉 👍 😊,neutral
24,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet 😠 😡 😢,negative
25,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response. 😡 😠 😞,negative
26,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail 😞 😢 😣,negative
27,@VirginAmerica do you miss me? Don't worry we'll be together very soon. 😉 😘 😏,neutral
28,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS 😷 👍 😉,negative
29,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix 😜 😉 😈,neutral
30,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢 😞 😄 😁",negative
31,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current? 👀 😬 😉,neutral
32,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX! 🎵 😡 😠",negative
33,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :( 💔 😢 💛",negative
34,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews 👍 😄 😎,positive
35,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP ☺ 😎 👍,neutral
36,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday 😎 👍 🎶,positive
37,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down! 👍 🙌 👊",positive
38,@VirginAmerica when can I book my flight to Hawaii?? 😭 😢 😫,neutral
39,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk 😢 💔 😉,negative
40,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr 👍 😄 🎶",positive
41,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help? 😬 😢 😕",negative
42,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️ 🙏 💙 💜,neutral
43,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp 😢 😞 💔,neutral
44,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24? 😢 😭 💔,neutral
45,@VirginAmerica I'm #elevategold for a good reason: you rock!! 👍 🎶 👊,positive
46,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx 💓 💛 😉,neutral
47,@VirginAmerica wow this just blew my mind 😳 💀 😅,positive
48,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree 👍 😉 😜,neutral
49,@VirginAmerica @ladygaga @carrieunderwood All were entertaining 😂 👏 👍,neutral
50,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks. 😡 😠 😑",neutral
51,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood 👍 😉 👏,positive
52,@VirginAmerica wish you flew out of Atlanta... Soon? 😢 😔 😞,neutral
53,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down. 👏 🙌 ✋,neutral
54,@VirginAmerica Will flights be leaving Dallas for LA on February 24th? 😢 😞 😔,neutral
55,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx! 💖 💓 💕,negative
56,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures 😉 🎶 🎵,positive
57,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊 💓 ✨ 🎶,positive
58,@VirginAmerica @ladygaga @carrieunderwood - Carrie! 👍 👏 😄,neutral
59,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think? 😉 😄 😊,neutral
60,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh. 💁 😔 😕,neutral
61,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help! 😡 😢 😠,negative
62,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌 😉 👍 😜",neutral
63,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first! 😉 😜 😬",neutral
64,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics! 👍 🎶 😉,positive
65,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please. 😞 😢 🙏,neutral
66,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/ 💓 😢 😞,negative
67,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm? 😄 😊 😬",negative
68,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV 👏 👍 💪,positive
69,@VirginAmerica everything was fine until you lost my bag 😡 💔 😠,negative
70,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online? 😬 😉 😕,neutral
71,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number. 👍 😉 😊,neutral
72,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this? 😊 🙈 😁",neutral
73,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt 👍 😉 😜,negative
74,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this. 👍 😎 😉",positive
75,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ? 👍 😄 😁,positive
76,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF 👍 😉 😄",neutral
77,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks 👍 😊 😄,neutral
78,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you. 👍 😊 😕,negative
79,@VirginAmerica what happened to Doom?! 😳 😢 😖,neutral
80,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness 😡 😠 😢,negative
81,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G 👍 😉 💪,positive
82,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :( 💛 ❤ 💜,negative
83,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness 😉 😢 👍,negative
84,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin 😞 😢 😕,negative
85,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R 😢 😞 😕,negative
86,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code 😡 😠 😢,neutral
87,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4 😜 😉 😄,neutral
88,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ? 😢 😞 😣,neutral
89,@VirginAmerica Why is the site down?  When will it be back up? 😢 😕 😞,negative
90,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!"" 😂 💀 😉",neutral
91,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account? 😞 😢 😕",neutral
92,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday . 😞 😕 😡,negative
93,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin 😡 😠 👍",negative
94,@VirginAmerica why is flight 345 redirected? 😢 😕 😭,neutral
95,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign. 😉 😬 😕",negative
96,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y 😢 😞 😡,negative
97,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable 😉 😜 😡,negative
98,@virginamerica What is your phone number. I can't find who to call about a flight reservation. 😡 😠 😕,negative
99,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone. 😡 😠 😞,negative
100,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM 😉 👍 😎,neutral
101,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax 😡 😠 😢,negative
102,@VirginAmerica check out new music http://t.co/maRcnOCWzn 🎵 🎶 👍,neutral
103,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky 👍 😉 😎,negative
104,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp. 😡 😠 😕,negative
105,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying 👍 👏 💪",positive
106,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm 👍 😠 😡,negative
107,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info. 😡 😠 😑,negative
108,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on? 😡 😕 😠,neutral
109,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare 😎 👍 ✌",positive
110,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare 😎 👍 ✌",neutral
111,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare 😎 👍 ✌",positive
112,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare 😎 👍 ✌",neutral
113,@VirginAmerica Have a great week 🌞✈ 👍 😘 😄,positive
114,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH 😷 😢 😖,positive
115,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""? 😳 😅 😐",negative
116,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience 👍 😊 👏",positive
117,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!! 💙 💪 👊,positive
118,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure. 👍 😎 😊,positive
119,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining 👍 😄 😊",positive
120,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website? 😡 😕 😉,negative
121,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem? 😡 😠 😕",negative
122,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370 😡 😠 👍,negative
123,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight! 👍 👏 😄,positive
124,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you! 😊 👍 ❤,positive
125,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats? 😊 😁 😉",neutral
126,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!! 😫 😖 😡,negative
127,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue 👍 😊 😄,positive
128,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight? 😉 😜 😬,neutral
129,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is? 😢 😞 😫,neutral
130,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check. 😡 😠 😕,negative
131,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry 😡 🙈 😕,negative
132,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet? 😉 😜 😄,neutral
133,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you! 😡 😠 😜,negative
134,@VirginAmerica Another delayed flight? #likingyoulessandless 😞 😢 😕,negative
135,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise 🙏 😢 😞,negative
136,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015 👍 😄 🎶,positive
137,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9 👏 👍 💯",neutral
138,@VirginAmerica always!!! Xoxo 😘 💓 💛,positive
139,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated 😡 😠 😖,negative
140,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame 😉 😜 😑,negative
141,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!! 👍 👏 😉,positive
142,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃 👍 😉 😄,neutral
143,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas 😢 😖 😞,negative
144,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!! 👍 👏 😊,positive
145,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :( 💔 😢 😞",negative
146,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him. 😉 😡 😜,negative
147,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome. ☺ 😘 😊,positive
148,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf 👍 😄 💪,positive
149,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy. 😡 😠 😕,negative
150,.@VirginAmerica does that mean you don't have a policy for destroyed luggage? 😉 😳 😕,negative
151,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding? 😉 😬 😄,neutral
152,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-) 💓 👍 💛,positive
153,@VirginAmerica is your website ever coming back online? 🙏 😁 👀,neutral
154,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23? 😡 😢 😕",neutral
155,@VirginAmerica Is flight 0769 out of LGA to DFW on time? 👀 😉 😳,neutral
156,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license? 😢 😞 😕,neutral
157,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait. 😡 😠 😤,negative
158,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out! 😡 😠 😫,negative
159,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site 😉 👍 😡",negative
160,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable. 😡 😠 😤",negative
161,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2) 😡 😢 😞",negative
162,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter 💔 😢 😞,negative
163,@VirginAmerica is the website down? 👀 😳 😢,negative
164,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2 😉 😜 😕,negative
165,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers 😢 😞 😡,negative
166,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2 😉 😜 👍,neutral
167,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh 😑 😕 😞,negative
168,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?! 😡 😢 😞,negative
169,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx 👍 😉 😜,neutral
170,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu 👍 😉 😎",neutral
171,@VirginAmerica Lister to my show my on Monday 1230 130 😉 😎 😏,neutral
172,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH 😎 💪 😄,neutral
173,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher... 👊 😡 👏",negative
174,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed 😞 😔 😢,negative
175,@VirginAmerica I'd love to know what your policy is for damaged luggage. 😉 😜 👍,neutral
176,@VirginAmerica Thank you for the follow 😊 😄 👍,positive
177,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers 😡 😠 👊,negative
178,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me? 😡 😠 😢,negative
179,@VirginAmerica @TTINAC11 I DM you 💀 👀 😂,neutral
180,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭 😢 😞 😫,neutral
181,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks! 😡 😠 😜,negative
182,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline? 😡 😠 😕,negative
183,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt 💓 ☺ 💛,positive
184,@VirginAmerica Only way to fly! #Elevate #Gold 😎 👍 😉,positive
185,@VirginAmerica If only you guys had flights from CMH. 😔 😢 😞,neutral
186,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever. 😞 😡 😢",negative
187,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever 😡 😠 😢,negative
188,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next? 😕 😢 😬,neutral
189,@VirginAmerica you will match my #AmericanAirlines status? Cool! 👍 😎 😄,positive
190,“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉 😳 😜 😉,neutral
191,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business 😡 😠 😤,negative
192,@VirginAmerica you suck! 😠 👊 😡,negative
193,@VirginAmerica thanks! 😊 😄 ☺,positive
194,@VirginAmerica Just DM'd. Same issue persisting. 👍 😄 😉,negative
195,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids 😢 😡 😠,negative
196,@VirginAmerica trying to book a flight &amp; your site is down 😁 😡 😢 😠,negative
197,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything 😞 😢 😠,negative
198,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better 😠 😡 😞,negative
199,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue 🎶 ❤ 😄,positive
200,@VirginAmerica Your website is down and I'm trying to check in! 😡 😠 😫,negative
201,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;) 👍 😄 😊",positive
202,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me! 😬 😁 😊,neutral
203,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4 👍 😎 😉,positive
204,@VirginAmerica Keep up the great work :) 👍 💪 💓,positive
205,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY 🙏 🙌 😍,positive
206,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously 👍 😄 😊,positive
207,@VirginAmerica can you please get me to the new york area before monday afternoon 🙏 😭 😫,neutral
208,"@VirginAmerica Thanks so much for the awesome support, you guys rock! 👍 👊 😄",positive
209,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback 😉 👍 😬,negative
210,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink. 👍 😉 😜,negative
211,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️ 😡 😠 😢,negative
212,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you! 👏 👍 🙌,positive
213,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal? 😡 😠 😤,negative
214,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook. 😕 😞 😢,negative
215,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight 👍 😡 😬",neutral
216,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin 😡 😠 😢",negative
217,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin 😢 😞 😔,negative
218,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule? 😡 😠 😢",negative
219,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks 👍 😊 ☺,negative
220,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh 😡 😢 😠,negative
221,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ... 😢 😞 💔,negative
222,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj 👍 💖 ❤,positive
223,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline 😢 😞 💔,positive
224,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad 😢 😕 😞,negative
225,"@VirginAmerica it’s just a bug report, guys 😉 😅 😖",neutral
226,@VirginAmerica hold times at call center are a bit much 😉 😂 😅,negative
227,@VirginAmerica Like http://t.co/VPqEm31XUQ 😉 😏 💁,positive
228,@VirginAmerica Site down? #help 😳 😖 😣,negative
229,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l 😍 😘 😉,positive
230,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy ☺ 😄 👍",positive
231,@VirginAmerica thanks so much! 😊 ☺ 😄,positive
232,"@VirginAmerica Trying to reset my password, email never arrives. Help? 😢 😕 😞",negative
233,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9 👍 😉 😄",positive
234,@VirginAmerica Very nicely done. 👏 👍 👏 💪,positive
235,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;) 👍 😉 😜,positive
236,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon? 😡 😠 😕,negative
237,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled? 😢 😕 😞",negative
238,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗 😘 ❤ 💛,positive
239,@VirginAmerica sounds like fun ! 😄 👍 😜,positive
240,@VirginAmerica any updates on flight 413 from Jfk &gt; Lax 👍 😉 😎,neutral
241,@virginamerica spruce moose! 👍 😄 😜,neutral
242,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable. 🙏 😢 👍",negative
243,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow? 😕 😞 😢",negative
